Name	Description	Lat	Long
Art Alexandre	St. Jean	45.305198	-73.257428
Jackie Keating	Saint John	45.273119	-66.06175
Louis Holmes	Staffordshire		
Doug Brennan	Peterborough	44.308684	-78.320081
Fred Robertson	Carlisle		
Frank Jerwa	Bankhead	51.230381	-115.523781
Eddie Burke	Toronto	43.652976	-79.382856
Alex "Bud" Cook	Kingston	44.230449	-76.487058
Percy Jackson	Canmore	53.022854	-112.828176
Lorne Duguid	Bolton	43.874355	-79.730934
Doug Young	Medicine Hat	50.040168	-110.67609
Arthur Coulter	Winnipeg	49.898957	-97.136776
Irwin "Yank" Boyd	Philadelphia	39.951722	-75.161635
Normie Smith	Toronto	43.652976	-79.382856
Ehrhardt "Ott" Heller	Kitchener	43.434673	-80.478375
Earl Seibert	Kitchener	43.434673	-80.478375
Moe Roberts	Waterbury	41.557939	-73.049433
Emil Hanson	Camrose	53.022854	-112.828176
Walter McCartney	Weyburn	49.663566	-103.853004
Andy Bellemer	Penetanguishene	44.768786	-79.934051
Dave Downie	Burk's Falls	45.6198	-79.408614
Burt Burry	Toronto	43.652976	-79.382856
Bob Davis	Lachine	45.44521	-73.685071
Leo Murray	Montreal	45.511528	-73.550721
Clarence "Pudge" MacKenzie	Cambridge	42.373571	-71.109906
Gordon "Doggie" Kuhn	Bedford	44.726694	-63.668432
Hugh Plaxton	Barrie	44.389241	-79.690426
Joe Thorsteinson	Winnipeg	49.898957	-97.136776
Gus Forslund	Umea		
Ronnie Martin	Calgary	51.045074	-114.059049
Ron Moffatt	West Hope	48.911499	-101.017374
Paul "Marcel" Raymond	Montreal	45.511528	-73.550721
Andy Aitkenhead	Glasgow		
Don McFadyen	Crossfield	51.430223	-114.031745
Mickey Blake	Barriefield	44.240358	-76.463096
Art Giroux	Quebec	46.803455	-71.242647
Wilfie Starr	Winnipeg	49.898957	-97.136776
Walter "Red" Jackson	Instock		
Jack Riley	Berkenla		
Oscar "Ossie" Asmundson	Red Deer	52.267767	-113.811302
Gordon Pettinger	Regina	50.454439	-104.605965
Walter Buswell	Montreal	45.511528	-73.550721
Gus Marker	Wetaskiwin	52.969097	-113.376769
Eddie Wiseman	Newcastle	47.000044	-65.567211
Art Wiebe	Rosthern	52.662462	-106.331821
Frank "Buzz" Boll	Fillmore	49.881234	-103.433655
Charlie Sands	Fort William	48.345006	-89.34821
Bill Thoms	Newmarket	44.059072	-79.461206
Hal Picketts	Asquith	52.134294	-107.228679
